iter	Logloss
0	0.6905708105
1	0.687870531
2	0.6862243542
3	0.6844712827
4	0.6819975311
5	0.6804229127
6	0.6777009774
7	0.6749203331
8	0.6729700881
9	0.6712351832
10	0.6689740023
11	0.6661600712
12	0.6635605385
13	0.6615877515
14	0.6590279304
15	0.6566999543
16	0.6539214146
17	0.651689256
18	0.6496542153
19	0.6473167683
20	0.645518502
21	0.6429327049
22	0.6411333309
23	0.6380332767
24	0.6362066529
25	0.6336571889
26	0.6318538822727	0.628624724228	0.626691039429	0.6226782271
30	0.6201823766
31	0.617077393
32	0.6148576408
3333	0.6144481183434	0.6123822273535	0.61113532736	0.607699524
37	0.606215683
38	38	0.6052063339	39	0.603681640	040	0.602708941	041	0.6006442588
42	0.598939943	043	0.597041246
44	0.5950871241
45	0.5931979646	46	0.5906589183
47	0.589058047
48	0.5871835144
49	0.5857601545050	0.5826659159
51	0.5804647179
52	0.5790178192
53	0.5761262371
54	0.5746900278
55	0.5728407512
56	0.5701211957	57	0.568946245858	0.5665851461
59	0.5649802871
60	0.5628097728
61	0.5607065523
62	0.5587645598
63	0.5571505067
64	0.5553980999
65	0.5536720567
66	0.5516374591
67	0.551006781
68	0.5497016145
69	0.5476875097
70	0.5458047247
71	0.5445748276
72	0.5435455378
73	0.5423144775
74	0.5407486654
75	0.5384131014
76	0.5361641609
77	0.5354339544
78	0.5343466757
79	0.5325680714
80	0.5306162756
81	0.529503021
82	0.5278539086
83	0.526074252
84	0.5243860373
85	0.5233419041
86	0.52193084
87	0.5205597644
88	0.5196180396
89	0.5177203557
90	0.5164328573
91	0.5150783421
92	0.5126374343
93	0.5112968209
94	0.5091120171
95	0.507299129
96	0.5060682903
97	0.5046681925
98	0.5030869832
99	0.5016434076
100	0.499577074
101	0.4974501483
102	0.4963819777
103	0.4952977452
104	0.4942846281
105	0.4934944942
106	0.4924304221
107	0.4899971022
108	0.488075104
109	0109	0.48071110	0.4853012168
111	0.483949914
112	0.4824471309
113	0.4803490613
114	0.479423066
115	0.4785010031
116	0.4766387109
117	0.4754931663
118	0.4746071596
119	0.4730923024
120	0.4725682973
121	0.4717890191
122	0.4704900004
123	0.4695082317
124	0.468313726
125	0.4671669076
126	0.4659687465
127	0.464926441
128	0.4635758305
129	0.4618533597
130	0.4610203572
131	0.4596618542
132	0.4589217337
133	0.4580160096
134	0.4564860045
135	0.4555904991
136	0.4547116648
137	0.4534510008
138	0.4521839952
139	0.4507551522
140	0.4497340595
141	0.4141	0.4382524162
142	0.4373143	0.4470673992
144	0.445547225
145	0.444385674
146	0.4434214625
147	0.4421075174
148	0.4406171131
149	0.4397396635
150	0.4387030904
151	0.43151	0.418152152	0152	0.41715153	0.153	0.41615154	0.154	0.415231362
155	0.4141156	0.156	0.4126176157	157	0.4123815158	0.41962013311159	159	0.410461160	0160	0.409491161	0.4339761059162	0.162	0.40702163	0.163	0.40614164	0.164	0.40465165	0.4123717929
166	0.166	0.40318167	0.4103028285
168	0.409574976
169	0.4084195173
170	0.4071035506
171	0.4064698816
172	0.4056955327
173	0.4048749366
174	0.4037584419
175	0.4030291216
176	0.4024433337
177	0.4014218256
178	0.4010270633
179	0.4003171557
180	0.3992715271
181	0.3984981475
182	0.3978888759
183	0.3968013203
184	0.395812019
185	0.3948653372
186	0.3935168036
187	0.3925045727
188	0.3917691599
189	0.3912923712
190	0.3907316177
191	0.3897021894
192	0.3891565008
193	0.3883345755
194	0.3877083835
195	0.3868809473
196	0.3860839179
197	0.3851843694
198	0.3846345822
199	0.3837317659
200	0.3829903438
201	0.3824323872
202	0.3816641307
203	0.3809711712
204	0.379498075
205	0.3785328666
206	0.377807451
207	0.3772696272
208	0.37671876
209	0.375901404
210	0.3750587643
211	0.3741538434
212	0.3736384231
213	0.3720305732
214	0.3711872966
215	0.3705382858
216	0.3689786769
217	0.3676164077
218	0.3667942054
219	0.3662353349
220	0.3657134622
221	0.3648886845
222	0.3639484274
223	0.3629111621
224	0.362127896
225	0.3617603281
226	0.3608432223
227	0.3599950441
228	0.3590077921
229	0.3582172705
230	0.3577287677
231	0.3566014174
232	0.3561234933
233	0.3552158584
234	0.3539281108
235	0.353501557
236	0.3527203679
237	0.3519825459
238	0.3513394337
239	0.350471732
240	0.3491106812
241	0.3487736863
242	0.3483074209
243	0.3480287472
244	0.3474521533
245	0.3465958888
246	0.3458283523
247	0.344855473
248	0.3440070455
249	0.343382709
250	0.3428380727
251	0.3422153978
252	0.3417882348
253	0.3411584151
254	0.3401256361
255	0.339642478
256	0.3389493523
257	0.338401116
258	0.3379307243
259	0.3372703594
260	0.3368427256
261	0.3360870417
262	0.3353380041
263	0.3344368493
264	0.3341395106
265	0.3336412876
266	0.3329514851
267	0.3321001499
268	0.3310787803
269	0.3305668493
270	0.3298622034
271	0.3295495506
272	0.3291165997
273	0.3286483128
274	0.3278092455
275	0.327248575
276	0.326891752
277	0.3262144667
278	0.3248139812
279	0.3234018648
280	0.3230111456
281	0.3225550435
282	0.3220711377
283	0.3213768213
284	0.3206931389
285	0.3200564791
286	0.3192912965
287	0.3184038498
288	0.3178571365
289	0.3171911776
290	0.3166095159
291	0.3159799178
292	0.3154346445
293	0.3149965705
294	0.3145840017
295	0.3140018415
296	0.3135110125
297	0.3130655998
298	0.3124348386
299	0.3118760789
300	0.3114602423
301	0.3110119219
302	0.310342086
303	0.3093677112
304	0.3087023062
305	0.3083026145
306	0.3073629113
307	0.3067945975
308	0.3059723676
309	0.3056180092
310	0.3051172938
311	0.3048239152
312	0.3043713855
313	0.3034923297
314	0.302591535
315	0.3020470095
316	0.3014188514
317	0.3007450831
318	0.3002582695
319	0.2997706806
320	0.2990635977
321	0.2981502581
322	0.296951377
323	0.2966330748
324	0.2961966624
325	0.2953821033
326	0.2949491802
327	0.2944871795
328	0.2941262856
329	0.2936018374
330	0.2930410562
331	0.2922425313
332	0.2916787869
333	0.2912211063
334	0.2905753079
335	0.2900276807
336	0.2892204326
337	0.2884809214
338	0.2877558935
339	0.2873803224
340	0.2870110375
341	0.2864177171
342	0.2857352809
343	0.2852539506
344	0.2847104497
345	0.2840909594
346	0.2838729055
347	0.2833819658
348	0.2825222119
349	0.2820045762
350	0.2815640375
351	0.2810248567
352	0.2805895243
353	0.2796495718
354	0.2793404082
355	0.278936535
356	0.278443989
357	0.2775761765
358	0.2771799742
359	0.2765299941
360	0.2761442043
361	0.2758355115
362	0.2751106498
363	0.2743422271
364	0.2740073092
365	0.2736355596
366	0.2730875725
367	0.2725124463
368	0.2719688623
369	0.271652554
370	0.2712887523
371	0.2707492946
372	0.2703078144
373	0.2696699361
374	0.2691027854
375	0.2685975284
376	0.2682475178
377	0.2676669084
378	0.2673201379
379	0.2668879071
380	0.2665228593
381	0.2659641273
382	0.2655684234
383	0.26548288
384	0.2647178636
385	0.2643778778
386	0.2641799844
387	0.263713442
388	0.2634427716
389	0.2632346595
390	0.2629880819
391	0.2626268003
392	0.2622375488
393	0.2618669624
394	0.2612611802
395	0.2610699053
396	0.2607124453
397	0.260449972
398	0.2599571491
399	0.2590250614
400	0.2586303545
401	0.2583248464
402	0.2579923931
403	0.2571358793
404	0.2566395117
