iter	Passed	Remaining
0	10	9990
1	22	11198
2	27	9119
3	39	9802
4	43	8678
5	59	9928
6	69	9909
7	76	9545
8	88	9786
9	100	9926
10	113	10182
11	118	9720
12	127	9680
13	135	9553
14	138	9124
15	142	8752
16	153	8876
17	162	8866
18	168	8696
19	178	8726
20	185	8658
21	197	8757
22	202	8581
23	213	8672
24	221	8650
25	225	8450
26	230	827	227	236	828	228	242	829	264	8538
30	271	8483
31	283	8587
32	232	277	833	233	284	834	334	292	835	335	299	836	323	8418
37	333	8448
38	338	324	739	339	336	840	340	342	841	341	356	8125
42	362	843	343	375	8151
44	384	8154
45	388	846	446	398	8073
47	403	7997
48	410	7961
49	417	750	450	427	7948
51	435	7939
52	442	7909
53	452	7930
54	457	7863
55	467	7879
56	471	757	457	482	758	558	494	7891
59	502	7875
60	514	7922
61	525	7952
62	532	7916
63	541	7913
64	554	7970
65	557	7895
66	564	7861
67	578	7925
68	586	7910
69	598	7946
70	605	7923
71	616	7950
72	621	7890
73	632	7910
74	642	7929
75	652	7930
76	657	7882
77	669	7915
78	676	7881
79	684	7873
80	692	7858
81	703	7871
82	712	7874
83	717	7825
84	726	7821
85	731	7772
86	737	7735
87	745	7722
88	758	7768
89	770	7793
90	778	7779
91	788	7780
92	803	7837
93	808	7793
94	823	7840
95	838	7898
96	855	7961
97	872	8029
98	883	8041
99	901	8112
100	911	8116
101	917	8075
102	933	8125
103	944	8137
104	955	8143
105	964	8132
106	966	8069
107	972	8035
108	980	8013
109	985	7109	110	996	7978
111	1007	7987
112	1015	7969
113	1024	7962
114	1035	7968
115	1039	7921
116	1048	7912
117	1056	7895
118	1066	7894
119	1077	7898
120	1082	7867
121	1093	7868
122	1096	7814
123	1105	7812
124	1112	7790
125	1114	7733
126	1118	7689
127	1127	7678
128	1133	7650
129	1145	7663
130	1156	7671
131	1162	7641
132	1168	7619
133	1172	7575
134	1180	7562
135	1182	7510
136	1188	7488
137	1198	7483
138	1203	7457
139	1212	7447
140	1219	7427
141	1221	73141	1282	7748
142143	1235	7342
144	1242	7326
145	1251	7320
146	1260	7316
147	1266	7290
148	1275	7284
149	1281	7260
150	1288	7243
151	129151	133152	129152	133153	130153	134154	131154	1357	7402
155	136156	132156	1374	7380
157158	158	134158159	1373	72159160	1384	72160161	1393	7210
162	162	137162163	1403	71163164	164	138164165	1419	71165166	1428	71166167	1433	701671167	1477	71681168	1485	73031169	1492	7286
170	1503	7290
171	1509	7266
172	1520	7270
173	1531	7270
174	1537	7249
175	1551	7262
176	1556	7238
177	1563	7219
178	1571	7206
179	1577	7184
180	1584	71711181	1590	71481182	1600	71451183	1608	7131
184	1613	71101185	1620	7092
186	1632	7099
187	1637	7071
188	1646	7063
189	1655	7057
190	1659	7030
191	1669	7027
192	1675	7004
193	1681	6986
194	1688	6968
195	1697	6962
196	1713	6983
197	1722	6977
198	1733	6977
199	1740	6962
200	1745	6940
201	1756	6937
202	1765	6931
203	1774	6925
204	1783	6916
205	1789	6896
206	1802	6905
207	1815	6912
208	1821	6893
209	1832	6893
210	1838	6874
211	1846	6862
212	1857	6861
213	1862	6842
214	1872	6836
215	1884	6841
216	1893	6832
217	1899	6813
218	1908	6805
219	1912	6781
220	1916	6753
221	1934	6778
222	1951	6798
223	1962	6798
224	1967	6776
225	1979	6780
226	1991	6780
227	2002	6781
228	2008	6761
229	2024	6778
230	2037	6782
231	2053	6797
232	2068	6810
233	2074	6790
234	2088	6799
235	2093	6776
236	2100	6761
237	2111	6760
238	2117	6743
239	2129	6741
240	2139	6738
241	2146	6722
242	2158	6722
243	2170	6725
244	2175	6703
245	2185	6700
246	2193	6686
247	2207	6694
248	2219	6694
249	2222	6667
250	2233	6664
251	2240	6649
252	2253	6652
253	2260	6637
254	2272	6638
255	2277	6617
256	2283	6603
257	2288	6581
258	2301	6584
259	2315	6590
260	2323	6578
261	2330	6563
262	2340	6560
263	2348	6548
264	2359	6544
265	2372	6545
266	2376	6524
267	2388	6524
268	2401	6526
269	2407	6509
270	2418	6506
271	2433	6511
272	2440	6499
273	2452	6499
274	2463	6493
275	2467	6473
276	2476	6463
277	2482	6447
278	2494	6445
279	2499	6426
280	2510	6423
281	2520	6417
282	2529	6409
283	2534	6390
284	2545	6386
285	2555	6379
286	2561	6363
287	2573	6361
288	2582	6354
289	2587	6334
290	2598	6330
291	2605	6316
292	2616	6313
293	2620	6293
294	2633	6292
295	2644	6290
296	2650	6272
297	2661	6268
298	2673	6267
299	2680	6255
300	2688	6244
301	2699	6239
302	2712	6239
303	2716	6220
304	2728	6216
305	2738	6209
306	2744	6194
307	2750	6180
308	2754	6158
309	2765	6155
310	2774	6147
311	2782	6136
312	2793	6131
313	2804	6128
314	2816	6123
315	2821	6106
316	2830	6099
317	2837	6085
318	2847	6078
319	2854	6064
320	2862	6055
321	2872	6048
322	2878	6033
323	2889	6029
324	2895	6012
325	2907	6011
326	2918	6005
327	2924	5990
328	2938	5993
329	2945	5979
330	2955	5973
331	2970	5976
332	2989	5987
333	3002	5987
334	3006	5968
335	3016	5962
336	3031	5963
337	3046	5966
338	3052	5952
339	3069	5957
340	3072	5937
341	3076	5918
342	3089	5917
343	3094	5901
344	3111	5906
345	3114	5887
346	3125	5881
347	3131	5867
348	3146	5869
349	3155	5861
350	3166	5854
351	3170	5837
352	3180	5830
353	3186	5815
354	3194	5803
355	3201	5791
356	3215	5791
357	3217	5770
358	3222	5753
359	3231	5744
360	3245	5744
361	3257	5740
362	3262	5724
363	3275	5723
364	3280	5708
365	3292	5702
366	3297	5688
367	3308	5681
368	3312	5664
369	3324	5659
370	3333	5652
371	3337	5634
372	3347	5627
373	3355	5616
374	3367	5611
375	3373	5598
376	3387	5598
377	3397	5591
378	3401	5573
379	3413	5569
380	3417	5552
381	3420	5533
382	3431	5528
383	3441	5520
384	3449	5510
385	3461	5506
386	3475	5504
387	3485	5498
388	3494	5489
389	3509	5489
390	3523	5487
391	3539	5490
392	3552	5486
393	3561	5477
394	3569	5467
395	3580	5460
396	3592	5456
397	3596	5439
398	3608	5434
399	3619	5429
400	3626	5417
401	3634	5406
402	3642	5396
403	3653	5389
404	3664	5384
405	3670	5369
406	3682	5365
407	3692	5357
408	3696	5341
409	3707	5334
410	3720	5332
411	3722	5312
412	3733	5306
413	3737	5290
414	3746	5281
415	3754	5270
416	3764	5263
417	3769	5248
418	3781	5243
419	3797	5244
420	3809	5239
421	3823	5237
422	3829	5224
423	3839	5216
424	3851	5211
425	3858	5198
426	3869	5192
427	3881	5187
428	3886	5173
429	3900	5170
430	3911	5163
431	3920	5154
432	3926	5141
433	3935	5131
434	3939	5116
